frequency_hz,response_amplitude,data_source
10,1.3819294055404596e-05,comsol_raw
20,5.5759852307681645e-06,comsol_raw
30,3.432446035942303e-06,comsol_raw
40,1.6681544381466784e-06,comsol_raw
50,1.0560134560301387e-06,comsol_raw
60,8.762778945393063e-07,comsol_raw
70,5.581478206854096e-07,comsol_raw
80,5.110276659762001e-07,comsol_raw
90,3.507808458202705e-07,comsol_raw
100,2.8177946071196335e-07,comsol_raw
110,2.32915531546877e-07,comsol_raw
120,1.962840445880793e-07,comsol_raw
130,1.6802057982492181e-07,comsol_raw
140,1.466358540573297e-07,comsol_raw
150,1.3741839523517253e-07,comsol_raw
160,1.1416519321135634e-07,comsol_raw
170,1.0148886987009799e-07,comsol_raw
180,9.118055750764823e-08,comsol_raw
