frequency_hz,response_amplitude,data_source
10,1.808872519613034e-05,comsol_raw
11,1.1985614903957552e-05,comsol_raw
12,1.156088302735992e-05,comsol_raw
13,1.1317430632665076e-05,comsol_raw
14,1.1421609691834818e-05,comsol_raw
15,1.1922290312892557e-05,comsol_raw
16,1.2905825773060304e-05,comsol_raw
17,1.4561758353215272e-05,comsol_raw
18,1.731043005424138e-05,comsol_raw
19,2.218949849520153e-05,comsol_raw
20,3.2467024836621244e-05,comsol_raw
21,6.608661568722678e-05,comsol_raw
22,0.0005367760713586749,comsol_raw
23,4.947090855668104e-05,comsol_raw
24,2.4917318812506423e-05,comsol_raw
25,1.6063707224635078e-05,comsol_raw
26,1.1287732719680576e-05,comsol_raw
27,7.799474495064162e-06,comsol_raw
28,3.4154254267066026e-05,comsol_raw
29,1.0251542341241836e-05,comsol_raw
30,7.385638122663882e-06,comsol_raw
31,6.085613916832581e-06,comsol_raw
32,5.230754850318459e-06,comsol_raw
33,4.596203429498264e-06,comsol_raw
34,4.097126731742707e-06,comsol_raw
35,3.690878028814048e-06,comsol_raw
36,3.352376965226024e-06,comsol_raw
37,3.0654043796319232e-06,comsol_raw
38,2.8187956700486487e-06,comsol_raw
39,2.604519921058717e-06,comsol_raw
40,2.416607785660116e-06,comsol_raw
41,2.250507465561902e-06,comsol_raw
42,2.1026758756503905e-06,comsol_raw
43,1.970307797167597e-06,comsol_raw
44,1.8511503342359791e-06,comsol_raw
45,1.7433724494549605e-06,comsol_raw
46,1.6454715143395524e-06,comsol_raw
47,1.5562058869552871e-06,comsol_raw
48,1.4745471238372785e-06,comsol_raw
49,1.3996491972579831e-06,comsol_raw
50,1.3308368459915272e-06,comsol_raw
51,1.267624852798611e-06,comsol_raw
52,1.209806914725418e-06,comsol_raw
53,1.1577447296162932e-06,comsol_raw
54,1.1133750883015626e-06,comsol_raw
55,1.0846052998635842e-06,comsol_raw
56,1.1144109328802266e-06,comsol_raw
57,1.7716294482341455e-06,comsol_raw
58,2.1358045211440648e-06,comsol_raw
59,1.1070053735238626e-06,comsol_raw
60,9.54442806760319e-07,comsol_raw
61,8.845550707353288e-07,comsol_raw
62,8.369324748265525e-07,comsol_raw
63,7.986392465598261e-07,comsol_raw
64,7.654503680370509e-07,comsol_raw
65,7.355920700594314e-07,comsol_raw
66,7.0817920767838e-07,comsol_raw
67,6.827118424380426e-07,comsol_raw
68,6.588852765497656e-07,comsol_raw
69,6.365151758696084e-07,comsol_raw
70,6.155197578954159e-07,comsol_raw
71,5.959545010993338e-07,comsol_raw
72,5.781485949256361e-07,comsol_raw
73,5.63142979114809e-07,comsol_raw
74,5.542822302959738e-07,comsol_raw
75,5.646835123121799e-07,comsol_raw
76,6.717063502985448e-07,comsol_raw
77,2.410863441161598e-06,comsol_raw
78,1.112643198461319e-06,comsol_raw
79,6.647792766433001e-07,comsol_raw
80,5.622643131902537e-07,comsol_raw
81,5.155446157329099e-07,comsol_raw
82,4.864639826667364e-07,comsol_raw
83,4.6502497032050477e-07,comsol_raw
84,4.4761351955986964e-07,comsol_raw
85,4.32637604985223e-07,comsol_raw
86,4.1929307475958206e-07,comsol_raw
87,4.071300907727595e-07,comsol_raw
88,3.958760005058518e-07,comsol_raw
89,3.853543708721898e-07,comsol_raw
90,3.754446031011288e-07,comsol_raw
91,3.660603276279035e-07,comsol_raw
92,3.571371598547415e-07,comsol_raw
93,3.486254163671857e-07,comsol_raw
94,3.404855985025333e-07,comsol_raw
95,3.3268548907634106e-07,comsol_raw
96,3.251982258784904e-07,comsol_raw
97,3.1800098661749855e-07,comsol_raw
98,3.11074068067087e-07,comsol_raw
99,3.044002261340998e-07,comsol_raw
100,2.979641927763889e-07,comsol_raw
101,2.9175231540055106e-07,comsol_raw
102,2.857522827758189e-07,comsol_raw
103,2.799529131824844e-07,comsol_raw
104,2.743439880900243e-07,comsol_raw
105,2.689161196725617e-07,comsol_raw
106,2.6366064384619176e-07,comsol_raw
107,2.585695328263236e-07,comsol_raw
108,2.5363532281326186e-07,comsol_raw
109,2.4885105355129146e-07,comsol_raw
110,2.442102173207164e-07,comsol_raw
111,2.397067155131142e-07,comsol_raw
112,2.3533482137451535e-07,comsol_raw
113,2.310891478249332e-07,comsol_raw
114,2.2696461950745377e-07,comsol_raw
115,2.229564484082909e-07,comsol_raw
116,2.190601125369663e-07,comsol_raw
117,2.1527133727506405e-07,comsol_raw
118,2.1158607910216599e-07,comsol_raw
119,2.0800051149627066e-07,comsol_raw
120,2.045110128903706e-07,comsol_raw
121,2.01114156654227e-07,comsol_raw
122,1.9780670316938848e-07,comsol_raw
123,1.9458559418757683e-07,comsol_raw
124,1.9144794982393214e-07,comsol_raw
125,1.88391068761818e-07,comsol_raw
126,1.8541243257345885e-07,comsol_raw
127,1.8250971555286842e-07,comsol_raw
128,1.796808022178232e-07,comsol_raw
129,1.7692381584229705e-07,comsol_raw
